,mpg,cylinders,displacement,horsepower,weight,,acceleration,model_year,origin,car_name,,
0,18,8,307,130,3504,19,12,70,1,chevrolet chevelle malibu,,1970
1,15,8,350,165,3693,19,11.5,70,1,buick skylark 320,,
2,18,8,318,150,3436,19,11,70,1,plymouth satellite,,
3,16,8,304,150,3433,19,12,70,1,amc rebel sst,,
4,17,8,302,140,3449,19,10.5,70,1,ford torino,,
5,15,8,429,198,4341,19,10,70,1,ford galaxie 500,,
6,14,8,454,220,4354,19,9,70,1,chevrolet impala,,
7,14,8,440,215,4312,19,8.5,70,1,plymouth fury iii,,
8,14,8,455,225,4425,19,10,70,1,pontiac catalina,,
9,15,8,390,190,3850,19,8.5,70,1,amc ambassador dpl,,
10,15,8,383,170,3563,19,10,70,1,dodge challenger se,,
11,14,8,340,160,3609,19,8,70,1,plymouth 'cuda 340,,
12,15,8,400,150,3761,19,9.5,70,1,chevrolet monte carlo,,
13,14,8,455,225,3086,19,10,70,1,buick estate wagon (sw),,
14,24,4,113,95,2372,19,15,70,3,toyota corona mark ii,,
15,22,6,198,95,2833,19,15.5,70,1,plymouth duster,,
16,18,6,199,97,2774,19,15.5,70,1,amc hornet,,
17,21,6,200,85,2587,19,16,70,1,ford maverick,,
18,27,4,97,88,2130,19,14.5,70,3,datsun pl510,,
19,26,4,97,46,1835,19,20.5,70,2,volkswagen 1131 deluxe sedan,,
20,25,4,110,87,2672,19,17.5,70,2,peugeot 504,,
21,24,4,107,90,2430,19,14.5,70,2,audi 100 ls,,
22,25,4,104,95,2375,19,17.5,70,2,saab 99e,,
23,26,4,121,113,2234,19,12.5,70,2,bmw 2002,,
24,21,6,199,90,2648,19,15,70,1,amc gremlin,,
25,10,8,360,215,4615,19,14,70,1,ford f250,,
26,10,8,307,200,4376,19,15,70,1,chevy c20,,
27,11,8,318,210,4382,19,13.5,70,1,dodge d200,,
28,9,8,304,193,4732,19,18.5,70,1,hi 1200d,,
29,27,4,97,88,2130,19,14.5,71,3,datsun pl510,,
30,28,4,140,90,2264,19,15.5,71,1,chevrolet vega 2300,,
31,25,4,113,95,2228,19,14,71,3,toyota corona,,
32,25,4,98,104.4693878,2046,19,19,71,1,ford pinto,,
33,19,6,232,100,2634,19,13,71,1,amc gremlin,,
34,16,6,225,105,3439,19,15.5,71,1,plymouth satellite custom,,
35,17,6,250,100,3329,19,15.5,71,1,chevrolet chevelle malibu,,
36,19,6,250,88,3302,19,15.5,71,1,ford torino 500,,
37,18,6,232,100,3288,19,15.5,71,1,amc matador,,
38,14,8,350,165,4209,19,12,71,1,chevrolet impala,,
39,14,8,400,175,4464,19,11.5,71,1,pontiac catalina brougham,,
40,14,8,351,153,4154,19,13.5,71,1,ford galaxie 500,,
41,14,8,318,150,4096,19,13,71,1,plymouth fury iii,,
42,12,8,383,180,4955,19,11.5,71,1,dodge monaco (sw),,
43,13,8,400,170,4746,19,12,71,1,ford country squire (sw),,
44,13,8,400,175,5140,19,12,71,1,pontiac safari (sw),,
45,18,6,258,110,2962,19,13.5,71,1,amc hornet sportabout (sw),,
46,22,4,140,72,2408,19,19,71,1,chevrolet vega (sw),,
47,19,6,250,100,3282,19,15,71,1,pontiac firebird,,
48,18,6,250,88,3139,19,14.5,71,1,ford mustang,,
49,23,4,122,86,2220,19,14,71,1,mercury capri 2000,,
50,28,4,116,90,2123,19,14,71,2,opel 1900,,
51,30,4,79,70,2074,19,19.5,71,2,peugeot 304,,
52,30,4,88,76,2065,19,14.5,71,2,fiat 124b,,
53,31,4,71,65,1773,19,19,71,3,toyota corolla 1200,,
54,35,4,72,69,1613,19,18,71,3,datsun 1200,,
55,27,4,97,60,1834,19,19,71,2,volkswagen model 111,,
56,26,4,91,70,1955,19,20.5,71,1,plymouth cricket,,
57,24,4,113,95,2278,19,15.5,72,3,toyota corona hardtop,,
58,25,4,97.5,80,2126,19,17,72,1,dodge colt hardtop,,
59,23,4,97,54,2254,19,23.5,72,2,volkswagen type 3,,
60,20,4,140,90,2408,19,19.5,72,1,chevrolet vega,,
61,21,4,122,86,2226,19,16.5,72,1,ford pinto runabout,,
62,13,8,350,165,4274,19,12,72,1,chevrolet impala,,
63,14,8,400,175,4385,19,12,72,1,pontiac catalina,,
64,15,8,318,150,4135,19,13.5,72,1,plymouth fury iii,,
65,14,8,351,153,4129,19,13,72,1,ford galaxie 500,,
66,17,8,304,150,3672,19,11.5,72,1,amc ambassador sst,,
67,11,8,429,208,4633,19,11,72,1,mercury marquis,,
68,13,8,350,155,4502,19,13.5,72,1,buick lesabre custom,,
69,12,8,350,160,4456,19,13.5,72,1,oldsmobile delta 88 royale,,
70,13,8,400,190,4422,19,12.5,72,1,chrysler newport royal,,
71,19,3,70,97,2330,19,13.5,72,3,mazda rx2 coupe,,
72,15,8,304,150,3892,19,12.5,72,1,amc matador (sw),,
73,13,8,307,130,4098,19,14,72,1,chevrolet chevelle concours (sw),,
74,13,8,302,140,4294,19,16,72,1,ford gran torino (sw),,
75,14,8,318,150,4077,19,14,72,1,plymouth satellite custom (sw),,
76,18,4,121,112,2933,19,14.5,72,2,volvo 145e (sw),,
77,22,4,121,76,2511,19,18,72,2,volkswagen 411 (sw),,
78,21,4,120,87,2979,19,19.5,72,2,peugeot 504 (sw),,
79,26,4,96,69,2189,19,18,72,2,renault 12 (sw),,
80,22,4,122,86,2395,19,16,72,1,ford pinto (sw),,
81,28,4,97,92,2288,19,17,72,3,datsun 510 (sw),,
82,23,4,120,97,2506,19,14.5,72,3,toyouta corona mark ii (sw),,
83,28,4,98,80,2164,19,15,72,1,dodge colt (sw),,
84,27,4,97,88,2100,19,16.5,72,3,toyota corolla 1600 (sw),,
85,13,8,350,175,4100,19,13,73,1,buick century 350,,
86,14,8,304,150,3672,19,11.5,73,1,amc matador,,
87,13,8,350,145,3988,19,13,73,1,chevrolet malibu,,
88,14,8,302,137,4042,19,14.5,73,1,ford gran torino,,
89,15,8,318,150,3777,19,12.5,73,1,dodge coronet custom,,
90,12,8,429,198,4952,19,11.5,73,1,mercury marquis brougham,,
91,13,8,400,150,4464,19,12,73,1,chevrolet caprice classic,,
92,13,8,351,158,4363,19,13,73,1,ford ltd,,
93,14,8,318,150,4237,19,14.5,73,1,plymouth fury gran sedan,,
94,13,8,440,215,4735,19,11,73,1,chrysler new yorker brougham,,
95,12,8,455,225,4951,19,11,73,1,buick electra 225 custom,,
96,13,8,360,175,3821,19,11,73,1,amc ambassador brougham,,
97,18,6,225,105,3121,19,16.5,73,1,plymouth valiant,,
98,16,6,250,100,3278,19,18,73,1,chevrolet nova custom,,
99,18,6,232,100,2945,19,16,73,1,amc hornet,,
100,18,6,250,88,3021,19,16.5,73,1,ford maverick,,
101,23,6,198,95,2904,19,16,73,1,plymouth duster,,
102,26,4,97,46,1950,19,21,73,2,volkswagen super beetle,,
103,11,8,400,150,4997,19,14,73,1,chevrolet impala,,
104,12,8,400,167,4906,19,12.5,73,1,ford country,,
105,13,8,360,170,4654,19,13,73,1,plymouth custom suburb,,
106,12,8,350,180,4499,19,12.5,73,1,oldsmobile vista cruiser,,
107,18,6,232,100,2789,19,15,73,1,amc gremlin,,
108,20,4,97,88,2279,19,19,73,3,toyota carina,,
109,21,4,140,72,2401,19,19.5,73,1,chevrolet vega,,
110,22,4,108,94,2379,19,16.5,73,3,datsun 610,,
111,18,3,70,90,2124,19,13.5,73,3,maxda rx3,,
112,19,4,122,85,2310,19,18.5,73,1,ford pinto,,
113,21,6,155,107,2472,19,14,73,1,mercury capri v6,,
114,26,4,98,90,2265,19,15.5,73,2,fiat 124 sport coupe,,
115,15,8,350,145,4082,19,13,73,1,chevrolet monte carlo s,,
116,16,8,400,230,4278,19,9.5,73,1,pontiac grand prix,,
117,29,4,68,49,1867,19,19.5,73,2,fiat 128,,
118,24,4,116,75,2158,19,15.5,73,2,opel manta,,
119,20,4,114,91,2582,19,14,73,2,audi 100ls,,
120,19,4,121,112,2868,19,15.5,73,2,volvo 144ea,,
121,15,8,318,150,3399,19,11,73,1,dodge dart custom,,
122,24,4,121,110,2660,19,14,73,2,saab 99le,,
123,20,6,156,122,2807,19,13.5,73,3,toyota mark ii,,
124,11,8,350,180,3664,19,11,73,1,oldsmobile omega,,
125,20,6,198,95,3102,19,16.5,74,1,plymouth duster,,
126,21,6,200,104.4693878,2875,19,17,74,1,ford maverick,,
127,19,6,232,100,2901,19,16,74,1,amc hornet,,
128,15,6,250,100,3336,19,17,74,1,chevrolet nova,,
129,31,4,79,67,1950,19,19,74,3,datsun b210,,
130,26,4,122,80,2451,19,16.5,74,1,ford pinto,,
131,32,4,71,65,1836,19,21,74,3,toyota corolla 1200,,
132,25,4,140,75,2542,19,17,74,1,chevrolet vega,,
133,16,6,250,100,3781,19,17,74,1,chevrolet chevelle malibu classic,,
134,16,6,258,110,3632,19,18,74,1,amc matador,,
135,18,6,225,105,3613,19,16.5,74,1,plymouth satellite sebring,,
136,16,8,302,140,4141,19,14,74,1,ford gran torino,,
137,13,8,350,150,4699,19,14.5,74,1,buick century luxus (sw),,
138,14,8,318,150,4457,19,13.5,74,1,dodge coronet custom (sw),,
139,14,8,302,140,4638,19,16,74,1,ford gran torino (sw),,
140,14,8,304,150,4257,19,15.5,74,1,amc matador (sw),,
141,29,4,98,83,2219,19,16.5,74,2,audi fox,,
142,26,4,79,67,1963,19,15.5,74,2,volkswagen dasher,,
143,26,4,97,78,2300,19,14.5,74,2,opel manta,,
144,31,4,76,52,1649,19,16.5,74,3,toyota corona,,
145,32,4,83,61,2003,19,19,74,3,datsun 710,,
146,28,4,90,75,2125,19,14.5,74,1,dodge colt,,
147,24,4,90,75,2108,19,15.5,74,2,fiat 128,,
148,26,4,116,75,2246,19,14,74,2,fiat 124 tc,,
149,24,4,120,97,2489,19,15,74,3,honda civic,,
150,26,4,108,93,2391,19,15.5,74,3,subaru,,
151,31,4,79,67,2000,19,16,74,2,fiat x1.9,,
152,19,6,225,95,3264,19,16,75,1,plymouth valiant custom,,
153,18,6,250,105,3459,19,16,75,1,chevrolet nova,,
154,15,6,250,72,3432,19,21,75,1,mercury monarch,,
155,15,6,250,72,3158,19,19.5,75,1,ford maverick,,
156,16,8,400,170,4668,19,11.5,75,1,pontiac catalina,,
157,15,8,350,145,4440,19,14,75,1,chevrolet bel air,,
158,16,8,318,150,4498,19,14.5,75,1,plymouth grand fury,,
159,14,8,351,148,4657,19,13.5,75,1,ford ltd,,
160,17,6,231,110,3907,19,21,75,1,buick century,,
161,16,6,250,105,3897,19,18.5,75,1,chevroelt chevelle malibu,,
162,15,6,258,110,3730,19,19,75,1,amc matador,,
163,18,6,225,95,3785,19,19,75,1,plymouth fury,,
164,21,6,231,110,3039,19,15,75,1,buick skyhawk,,
165,20,8,262,110,3221,19,13.5,75,1,chevrolet monza 2+2,,
166,13,8,302,129,3169,19,12,75,1,ford mustang ii,,
167,29,4,97,75,2171,19,16,75,3,toyota corolla,,
168,23,4,140,83,2639,19,17,75,1,ford pinto,,
169,20,6,232,100,2914,19,16,75,1,amc gremlin,,
170,23,4,140,78,2592,19,18.5,75,1,pontiac astro,,
171,24,4,134,96,2702,19,13.5,75,3,toyota corona,,
172,25,4,90,71,2223,19,16.5,75,2,volkswagen dasher,,
173,24,4,119,97,2545,19,17,75,3,datsun 710,,
174,18,6,171,97,2984,19,14.5,75,1,ford pinto,,
175,29,4,90,70,1937,19,14,75,2,volkswagen rabbit,,
176,19,6,232,90,3211,19,17,75,1,amc pacer,,
177,23,4,115,95,2694,19,15,75,2,audi 100ls,,
178,23,4,120,88,2957,19,17,75,2,peugeot 504,,
179,22,4,121,98,2945,19,14.5,75,2,volvo 244dl,,
180,25,4,121,115,2671,19,13.5,75,2,saab 99le,,
181,33,4,91,53,1795,19,17.5,75,3,honda civic cvcc,,
182,28,4,107,86,2464,19,15.5,76,2,fiat 131,,
183,25,4,116,81,2220,19,16.9,76,2,opel 1900,,
184,25,4,140,92,2572,19,14.9,76,1,capri ii,,
185,26,4,98,79,2255,19,17.7,76,1,dodge colt,,
186,27,4,101,83,2202,19,15.3,76,2,renault 12tl,,
187,17.5,8,305,140,4215,19,13,76,1,chevrolet chevelle malibu classic,,
188,16,8,318,150,4190,19,13,76,1,dodge coronet brougham,,
189,15.5,8,304,120,3962,19,13.9,76,1,amc matador,,
190,14.5,8,351,152,4215,19,12.8,76,1,ford gran torino,,
191,22,6,225,100,3233,19,15.4,76,1,plymouth valiant,,
192,22,6,250,105,3353,19,14.5,76,1,chevrolet nova,,
193,24,6,200,81,3012,19,17.6,76,1,ford maverick,,
194,22.5,6,232,90,3085,19,17.6,76,1,amc hornet,,
195,29,4,85,52,2035,19,22.2,76,1,chevrolet chevette,,
196,24.5,4,98,60,2164,19,22.1,76,1,chevrolet woody,,
197,29,4,90,70,1937,19,14.2,76,2,vw rabbit,,
198,33,4,91,53,1795,19,17.4,76,3,honda civic,,
199,20,6,225,100,3651,19,17.7,76,1,dodge aspen se,,
200,18,6,250,78,3574,19,21,76,1,ford granada ghia,,
201,18.5,6,250,110,3645,19,16.2,76,1,pontiac ventura sj,,
202,17.5,6,258,95,3193,19,17.8,76,1,amc pacer d/l,,
203,29.5,4,97,71,1825,19,12.2,76,2,volkswagen rabbit,,
204,32,4,85,70,1990,19,17,76,3,datsun b-210,,
205,28,4,97,75,2155,19,16.4,76,3,toyota corolla,,
206,26.5,4,140,72,2565,19,13.6,76,1,ford pinto,,
207,20,4,130,102,3150,19,15.7,76,2,volvo 245,,
208,13,8,318,150,3940,19,13.2,76,1,plymouth volare premier v8,,
209,19,4,120,88,3270,19,21.9,76,2,peugeot 504,,
210,19,6,156,108,2930,19,15.5,76,3,toyota mark ii,,
211,16.5,6,168,120,3820,19,16.7,76,2,mercedes-benz 280s,,
212,16.5,8,350,180,4380,19,12.1,76,1,cadillac seville,,
213,13,8,350,145,4055,19,12,76,1,chevy c10,,
214,13,8,302,130,3870,19,15,76,1,ford f108,,
215,13,8,318,150,3755,19,14,76,1,dodge d100,,
216,31.5,4,98,68,2045,19,18.5,77,3,honda accord cvcc,,
217,30,4,111,80,2155,19,14.8,77,1,buick opel isuzu deluxe,,
218,36,4,79,58,1825,19,18.6,77,2,renault 5 gtl,,
219,25.5,4,122,96,2300,19,15.5,77,1,plymouth arrow gs,,
220,33.5,4,85,70,1945,19,16.8,77,3,datsun f-10 hatchback,,
221,17.5,8,305,145,3880,19,12.5,77,1,chevrolet caprice classic,,
222,17,8,260,110,4060,19,19,77,1,oldsmobile cutlass supreme,,
223,15.5,8,318,145,4140,19,13.7,77,1,dodge monaco brougham,,
224,15,8,302,130,4295,19,14.9,77,1,mercury cougar brougham,,
225,17.5,6,250,110,3520,19,16.4,77,1,chevrolet concours,,
226,20.5,6,231,105,3425,19,16.9,77,1,buick skylark,,
227,19,6,225,100,3630,19,17.7,77,1,plymouth volare custom,,
228,18.5,6,250,98,3525,19,19,77,1,ford granada,,
229,16,8,400,180,4220,19,11.1,77,1,pontiac grand prix lj,,
230,15.5,8,350,170,4165,19,11.4,77,1,chevrolet monte carlo landau,,
231,15.5,8,400,190,4325,19,12.2,77,1,chrysler cordoba,,
232,16,8,351,149,4335,19,14.5,77,1,ford thunderbird,,
233,29,4,97,78,1940,19,14.5,77,2,volkswagen rabbit custom,,
234,24.5,4,151,88,2740,19,16,77,1,pontiac sunbird coupe,,
235,26,4,97,75,2265,19,18.2,77,3,toyota corolla liftback,,
236,25.5,4,140,89,2755,19,15.8,77,1,ford mustang ii 2+2,,
237,30.5,4,98,63,2051,19,17,77,1,chevrolet chevette,,
238,33.5,4,98,83,2075,19,15.9,77,1,dodge colt m/m,,
239,30,4,97,67,1985,19,16.4,77,3,subaru dl,,
240,30.5,4,97,78,2190,19,14.1,77,2,volkswagen dasher,,
241,22,6,146,97,2815,19,14.5,77,3,datsun 810,,
242,21.5,4,121,110,2600,19,12.8,77,2,bmw 320i,,
243,21.5,3,80,110,2720,19,13.5,77,3,mazda rx-4,,
244,43.1,4,90,48,1985,19,21.5,78,2,volkswagen rabbit custom diesel,,
245,36.1,4,98,66,1800,19,14.4,78,1,ford fiesta,,
246,32.8,4,78,52,1985,19,19.4,78,3,mazda glc deluxe,,
247,39.4,4,85,70,2070,19,18.6,78,3,datsun b210 gx,,
248,36.1,4,91,60,1800,19,16.4,78,3,honda civic cvcc,,
249,19.9,8,260,110,3365,19,15.5,78,1,oldsmobile cutlass salon brougham,,
250,19.4,8,318,140,3735,19,13.2,78,1,dodge diplomat,,
251,20.2,8,302,139,3570,19,12.8,78,1,mercury monarch ghia,,
252,19.2,6,231,105,3535,19,19.2,78,1,pontiac phoenix lj,,
253,20.5,6,200,95,3155,19,18.2,78,1,chevrolet malibu,,
254,20.2,6,200,85,2965,19,15.8,78,1,ford fairmont (auto),,
255,25.1,4,140,88,2720,19,15.4,78,1,ford fairmont (man),,
256,20.5,6,225,100,3430,19,17.2,78,1,plymouth volare,,
257,19.4,6,232,90,3210,19,17.2,78,1,amc concord,,
258,20.6,6,231,105,3380,19,15.8,78,1,buick century special,,
259,20.8,6,200,85,3070,19,16.7,78,1,mercury zephyr,,
260,18.6,6,225,110,3620,19,18.7,78,1,dodge aspen,,
261,18.1,6,258,120,3410,19,15.1,78,1,amc concord d/l,,
262,19.2,8,305,145,3425,19,13.2,78,1,chevrolet monte carlo landau,,
263,17.7,6,231,165,3445,19,13.4,78,1,buick regal sport coupe (turbo),,
264,18.1,8,302,139,3205,19,11.2,78,1,ford futura,,
265,17.5,8,318,140,4080,19,13.7,78,1,dodge magnum xe,,
266,30,4,98,68,2155,19,16.5,78,1,chevrolet chevette,,
267,27.5,4,134,95,2560,19,14.2,78,3,toyota corona,,
268,27.2,4,119,97,2300,19,14.7,78,3,datsun 510,,
269,30.9,4,105,75,2230,19,14.5,78,1,dodge omni,,
270,21.1,4,134,95,2515,19,14.8,78,3,toyota celica gt liftback,,
271,23.2,4,156,105,2745,19,16.7,78,1,plymouth sapporo,,
272,23.8,4,151,85,2855,19,17.6,78,1,oldsmobile starfire sx,,
273,23.9,4,119,97,2405,19,14.9,78,3,datsun 200-sx,,
274,20.3,5,131,103,2830,19,15.9,78,2,audi 5000,,
275,17,6,163,125,3140,19,13.6,78,2,volvo 264gl,,
276,21.6,4,121,115,2795,19,15.7,78,2,saab 99gle,,
277,16.2,6,163,133,3410,19,15.8,78,2,peugeot 604sl,,
278,31.5,4,89,71,1990,19,14.9,78,2,volkswagen scirocco,,
279,29.5,4,98,68,2135,19,16.6,78,3,honda accord lx,,
280,21.5,6,231,115,3245,19,15.4,79,1,pontiac lemans v6,,
281,19.8,6,200,85,2990,19,18.2,79,1,mercury zephyr 6,,
282,22.3,4,140,88,2890,19,17.3,79,1,ford fairmont 4,,
283,20.2,6,232,90,3265,19,18.2,79,1,amc concord dl 6,,
284,20.6,6,225,110,3360,19,16.6,79,1,dodge aspen 6,,
285,17,8,305,130,3840,19,15.4,79,1,chevrolet caprice classic,,
286,17.6,8,302,129,3725,19,13.4,79,1,ford ltd landau,,
287,16.5,8,351,138,3955,19,13.2,79,1,mercury grand marquis,,
288,18.2,8,318,135,3830,19,15.2,79,1,dodge st. regis,,
289,16.9,8,350,155,4360,19,14.9,79,1,buick estate wagon (sw),,
290,15.5,8,351,142,4054,19,14.3,79,1,ford country squire (sw),,
291,19.2,8,267,125,3605,19,15,79,1,chevrolet malibu classic (sw),,
292,18.5,8,360,150,3940,19,13,79,1,chrysler lebaron town @ country (sw),,
293,31.9,4,89,71,1925,19,14,79,2,vw rabbit custom,,
294,34.1,4,86,65,1975,19,15.2,79,3,maxda glc deluxe,,
295,35.7,4,98,80,1915,19,14.4,79,1,dodge colt hatchback custom,,
296,27.4,4,121,80,2670,19,15,79,1,amc spirit dl,,
297,25.4,5,183,77,3530,19,20.1,79,2,mercedes benz 300d,,
298,23,8,350,125,3900,19,17.4,79,1,cadillac eldorado,,
299,27.2,4,141,71,3190,19,24.8,79,2,peugeot 504,,
300,23.9,8,260,90,3420,19,22.2,79,1,oldsmobile cutlass salon brougham,,
301,34.2,4,105,70,2200,19,13.2,79,1,plymouth horizon,,
302,34.5,4,105,70,2150,19,14.9,79,1,plymouth horizon tc3,,
303,31.8,4,85,65,2020,19,19.2,79,3,datsun 210,,
304,37.3,4,91,69,2130,19,14.7,79,2,fiat strada custom,,
305,28.4,4,151,90,2670,19,16,79,1,buick skylark limited,,
306,28.8,6,173,115,2595,19,11.3,79,1,chevrolet citation,,
307,26.8,6,173,115,2700,19,12.9,79,1,oldsmobile omega brougham,,
308,33.5,4,151,90,2556,19,13.2,79,1,pontiac phoenix,,
309,41.5,4,98,76,2144,19,14.7,80,2,vw rabbit,,
310,38.1,4,89,60,1968,19,18.8,80,3,toyota corolla tercel,,
311,32.1,4,98,70,2120,19,15.5,80,1,chevrolet chevette,,
312,37.2,4,86,65,2019,19,16.4,80,3,datsun 310,,
313,28,4,151,90,2678,19,16.5,80,1,chevrolet citation,,
314,26.4,4,140,88,2870,19,18.1,80,1,ford fairmont,,
315,24.3,4,151,90,3003,19,20.1,80,1,amc concord,,
316,19.1,6,225,90,3381,19,18.7,80,1,dodge aspen,,
317,34.3,4,97,78,2188,19,15.8,80,2,audi 4000,,
318,29.8,4,134,90,2711,19,15.5,80,3,toyota corona liftback,,
319,31.3,4,120,75,2542,19,17.5,80,3,mazda 626,,
320,37,4,119,92,2434,19,15,80,3,datsun 510 hatchback,,
321,32.2,4,108,75,2265,19,15.2,80,3,toyota corolla,,
322,46.6,4,86,65,2110,19,17.9,80,3,mazda glc,,
323,27.9,4,156,105,2800,19,14.4,80,1,dodge colt,,
324,40.8,4,85,65,2110,19,19.2,80,3,datsun 210,,
325,44.3,4,90,48,2085,19,21.7,80,2,vw rabbit c (diesel),,
326,43.4,4,90,48,2335,19,23.7,80,2,vw dasher (diesel),,
327,36.4,5,121,67,2950,19,19.9,80,2,audi 5000s (diesel),,
328,30,4,146,67,3250,19,21.8,80,2,mercedes-benz 240d,,
329,44.6,4,91,67,1850,19,13.8,80,3,honda civic 1500 gl,,
330,40.9,4,85,104.4693878,1835,19,17.3,80,2,renault lecar deluxe,,
331,33.8,4,97,67,2145,19,18,80,3,subaru dl,,
332,29.8,4,89,62,1845,19,15.3,80,2,vokswagen rabbit,,
333,32.7,6,168,132,2910,19,11.4,80,3,datsun 280-zx,,
334,23.7,3,70,100,2420,19,12.5,80,3,mazda rx-7 gs,,
335,35,4,122,88,2500,19,15.1,80,2,triumph tr7 coupe,,
336,23.6,4,140,104.4693878,2905,19,14.3,80,1,ford mustang cobra,,
337,32.4,4,107,72,2290,19,17,80,3,honda accord,,
338,27.2,4,135,84,2490,19,15.7,81,1,plymouth reliant,,
339,26.6,4,151,84,2635,19,16.4,81,1,buick skylark,,
340,25.8,4,156,92,2620,19,14.4,81,1,dodge aries wagon (sw),,
341,23.5,6,173,110,2725,19,12.6,81,1,chevrolet citation,,
342,30,4,135,84,2385,19,12.9,81,1,plymouth reliant,,
343,39.1,4,79,58,1755,19,16.9,81,3,toyota starlet,,
344,39,4,86,64,1875,19,16.4,81,1,plymouth champ,,
345,35.1,4,81,60,1760,19,16.1,81,3,honda civic 1300,,
346,32.3,4,97,67,2065,19,17.8,81,3,subaru,,
347,37,4,85,65,1975,19,19.4,81,3,datsun 210 mpg,,
348,37.7,4,89,62,2050,19,17.3,81,3,toyota tercel,,
349,34.1,4,91,68,1985,19,16,81,3,mazda glc 4,,
350,34.7,4,105,63,2215,19,14.9,81,1,plymouth horizon 4,,
351,34.4,4,98,65,2045,19,16.2,81,1,ford escort 4w,,
352,29.9,4,98,65,2380,19,20.7,81,1,ford escort 2h,,
353,33,4,105,74,2190,19,14.2,81,2,volkswagen jetta,,
354,34.5,4,100,104.4693878,2320,19,15.8,81,2,renault 18i,,
355,33.7,4,107,75,2210,19,14.4,81,3,honda prelude,,
356,32.4,4,108,75,2350,19,16.8,81,3,toyota corolla,,
357,32.9,4,119,100,2615,19,14.8,81,3,datsun 200sx,,
358,31.6,4,120,74,2635,19,18.3,81,3,mazda 626,,
359,28.1,4,141,80,3230,19,20.4,81,2,peugeot 505s turbo diesel,,
360,30.7,6,145,76,3160,19,19.6,81,2,volvo diesel,,
361,25.4,6,168,116,2900,19,12.6,81,3,toyota cressida,,
362,24.2,6,146,120,2930,19,13.8,81,3,datsun 810 maxima,,
363,22.4,6,231,110,3415,19,15.8,81,1,buick century,,
364,26.6,8,350,105,3725,19,19,81,1,oldsmobile cutlass ls,,
365,20.2,6,200,88,3060,19,17.1,81,1,ford granada gl,,
366,17.6,6,225,85,3465,19,16.6,81,1,chrysler lebaron salon,,
367,28,4,112,88,2605,19,19.6,82,1,chevrolet cavalier,,
368,27,4,112,88,2640,19,18.6,82,1,chevrolet cavalier wagon,,
369,34,4,112,88,2395,19,18,82,1,chevrolet cavalier 2-door,,
370,31,4,112,85,2575,19,16.2,82,1,pontiac j2000 se hatchback,,
371,29,4,135,84,2525,19,16,82,1,dodge aries se,,
372,27,4,151,90,2735,19,18,82,1,pontiac phoenix,,
373,24,4,140,92,2865,19,16.4,82,1,ford fairmont futura,,
374,23,4,151,104.4693878,3035,19,20.5,82,1,amc concord dl,,
375,36,4,105,74,1980,19,15.3,82,2,volkswagen rabbit l,,
376,37,4,91,68,2025,19,18.2,82,3,mazda glc custom l,,
377,31,4,91,68,1970,19,17.6,82,3,mazda glc custom,,
378,38,4,105,63,2125,19,14.7,82,1,plymouth horizon miser,,
379,36,4,98,70,2125,19,17.3,82,1,mercury lynx l,,
380,36,4,120,88,2160,19,14.5,82,3,nissan stanza xe,,
381,36,4,107,75,2205,19,14.5,82,3,honda accord,,
382,34,4,108,70,2245,19,16.9,82,3,toyota corolla,,
383,38,4,91,67,1965,19,15,82,3,honda civic,,
384,32,4,91,67,1965,19,15.7,82,3,honda civic (auto),,
385,38,4,91,67,1995,19,16.2,82,3,datsun 310 gx,,
386,25,6,181,110,2945,19,16.4,82,1,buick century limited,,
387,38,6,262,85,3015,19,17,82,1,oldsmobile cutlass ciera (diesel),,
388,26,4,156,92,2585,19,14.5,82,1,chrysler lebaron medallion,,
389,22,6,232,112,2835,19,14.7,82,1,ford granada l,,
390,32,4,144,96,2665,19,13.9,82,3,toyota celica gt,,
391,36,4,135,84,2370,19,13,82,1,dodge charger 2.2,,
392,27,4,151,90,2950,19,17.3,82,1,chevrolet camaro,,
393,27,4,140,86,2790,19,15.6,82,1,ford mustang gl,,
394,44,4,97,52,2130,19,24.6,82,2,vw pickup,,
395,32,4,135,84,2295,19,11.6,82,1,dodge rampage,,
396,28,4,120,79,2625,19,18.6,82,1,ford ranger,,
397,31,4,119,82,2720,19,19.4,82,1,chevy s-10,,
